Intervals per Rule = 1
Rules per class = 10
Iterations = 10000
Training File = ˆ$­û
Test File = ˆ$­û
best on training set at iteration 0:  33%
best on training set at iteration 100:  42%
best on training set at iteration 200:  52%
best on training set at iteration 300:  55%
best on training set at iteration 400:  60%
best on training set at iteration 500:  62%
best on training set at iteration 600:  66%
best on training set at iteration 700:  66%
best on training set at iteration 800:  67%
best on training set at iteration 900:  68%
best on training set at iteration 1000:  68%
best on training set at iteration 1100:  69%
best on training set at iteration 1200:  69%
best on training set at iteration 1300:  71%
best on training set at iteration 1400:  73%
best on training set at iteration 1500:  76%
best on training set at iteration 1600:  78%
best on training set at iteration 1700:  79%
best on training set at iteration 1800:  80%
best on training set at iteration 1900:  81%
best on training set at iteration 2000:  83%
best on training set at iteration 2100:  83%
best on training set at iteration 2200:  83%
best on training set at iteration 2300:  84%
best on training set at iteration 2400:  85%
best on training set at iteration 2500:  85%
best on training set at iteration 2600:  85%
best on training set at iteration 2700:  85%
best on training set at iteration 2800:  85%
best on training set at iteration 2900:  85%
best on training set at iteration 3000:  85%
best on training set at iteration 3100:  85%
best on training set at iteration 3200:  86%
best on training set at iteration 3300:  86%
best on training set at iteration 3400:  86%
best on training set at iteration 3500:  86%
best on training set at iteration 3600:  86%
best on training set at iteration 3700:  86%
best on training set at iteration 3800:  86%
best on training set at iteration 3900:  86%
best on training set at iteration 4000:  86%
best on training set at iteration 4100:  86%
best on training set at iteration 4200:  86%
best on training set at iteration 4300:  86%
best on training set at iteration 4400:  86%
best on training set at iteration 4500:  86%
best on training set at iteration 4600:  86%
best on training set at iteration 4700:  86%
best on training set at iteration 4800:  86%
best on training set at iteration 4900:  86%
best on training set at iteration 5000:  86%
best on training set at iteration 5100:  86%
best on training set at iteration 5200:  86%
best on training set at iteration 5300:  88%
best on training set at iteration 5400:  88%
best on training set at iteration 5500:  88%
best on training set at iteration 5600:  88%
best on training set at iteration 5700:  89%
best on training set at iteration 5800:  89%
best on training set at iteration 5900:  89%
best on training set at iteration 6000:  89%
best on training set at iteration 6100:  89%
best on training set at iteration 6200:  89%
best on training set at iteration 6300:  89%
best on training set at iteration 6400:  90%
best on training set at iteration 6500:  90%
best on training set at iteration 6600:  90%
best on training set at iteration 6700:  90%
best on training set at iteration 6800:  91%
best on training set at iteration 6900:  91%
best on training set at iteration 7000:  91%
best on training set at iteration 7100:  91%
best on training set at iteration 7200:  91%
best on training set at iteration 7300:  91%
best on training set at iteration 7400:  91%
best on training set at iteration 7500:  91%
best on training set at iteration 7600:  92%
best on training set at iteration 7700:  92%
best on training set at iteration 7800:  92%
best on training set at iteration 7900:  92%
best on training set at iteration 8000:  92%
best on training set at iteration 8100:  92%
best on training set at iteration 8200:  92%
best on training set at iteration 8300:  92%
best on training set at iteration 8400:  92%
best on training set at iteration 8500:  92%
best on training set at iteration 8600:  92%
best on training set at iteration 8700:  92%
best on training set at iteration 8800:  92%
best on training set at iteration 8900:  92%
best on training set at iteration 9000:  92%
best on training set at iteration 9100:  92%
best on training set at iteration 9200:  92%
best on training set at iteration 9300:  92%
best on training set at iteration 9400:  92%
best on training set at iteration 9500:  92%
best on training set at iteration 9600:  92%
best on training set at iteration 9700:  92%
best on training set at iteration 9800:  92%
best on training set at iteration 9900:  92%

 44-[1  15] -> 0
 25-[2  14] -> 0
 39-[-0  6] -> 0
 45-[1  16] -> 0
 46-[3  15] -> 0
 40-[-0  8] -> 0
 34-[6  13] -> 0
 35-[-0  -0] -> 0
 30-[4  11] -> 0
 50-[10  16] -> 0
 55-[7  10] -> 1
 10-[-0  7] -> 1
 40-[-0  7] -> 1
 57-[-0  9] -> 1
 31-[-0  16] -> 1
 37-[5  14] -> 1
 41-[-0  14] -> 1
 23-[-0  6] -> 1
 20-[8  16] -> 1
 17-[-0  1] -> 1
