0.09	1
0.21	1
0.17	0
0.15	2
0.32	4
0.32	2
0.04	0
0.02	0
0.21	3
0.09	1
0.24	2
0.11	0
0.15	0
0.13	0
0.32	1
0.33	7
0.2	1
0.75	3
0.1	2
0.1	3
0.02	0
0.17	1
1	3
0.07	0
0.13	0
0.09	2
0.17	2
0.39	5
0.1	1
0.2	1
0.43	3
0.05	0
0.76	4
0.09	0
0.26	0
0.08	1
0.04	0
0.27	2
0.1	0
0.08	0
0.06	2
0.1	1
0.06	1
0.43	2
0.67	4
0.17	1
0.13	0
0.35	4
0.14	2
0.05	0
0.15	5
0.19	1
0.21	3
0.2	1
0.12	3
0.14	0
0.05	1
0.05	0
0.42	5
0.05	0
0.11	1
0.29	4
0.07	0
0.11	0
0.52	1
0.31	1
0.4	3
0.3	6
0.06	1
0.98	3
0.59	3
0.03	0
0.03	0
0.35	3
0.13	0
0.17	0
0.23	5
1	5
0.11	0
0.15	3
0.31	2
0.59	2
0.51	3
0.08	1
0.22	4
0.15	0
0.37	6
0.4	6
0.04	0
0.06	0
0.54	8
0.23	1
0.22	1
0.09	0
0.14	0
0.21	2
0.72	8
0.25	0
0.03	0
0.45	2
0.35	0
0.25	1
0.41	3
0.06	1
0.28	2
0.13	0
0.12	0
0.1	0
0.03	0
0.12	0
0.15	0
0.54	2
1	6
0.16	0
0.03	0
0.14	2
0.21	0
0.75	5
0.53	1
0.1	1
0.59	5
0.4	1
0.06	0
0.06	1
0.04	0
0.15	2
0	0
0.17	1
0.85	5
0.09	0
0.4	7
0.04	0
0.06	0
0.19	1
0.15	2
0.41	2
0.27	5
0.22	2
0.06	0
0.08	1
0.14	3
0.4	4
0.46	1
0.01	1
0.44	6
0.11	0
0.06	0
0.05	0
0.36	5
0.05	0
0.1	0
0.26	1
0.58	4
0.39	4
0.61	4
0.06	0
0.29	2
0.3	5
0.08	0
0.15	0
0.14	0
0.26	2
0.06	1
0.23	1
0.76	5
0.36	2
0.19	0
0.09	1
0.45	5
0.23	3
0.1	2
0.1	0
0.05	0
0.2	1
0.21	5
0.2	2
0.06	0
0	0
0.48	3
0.25	1
0.79	5
0.18	1
1	7
0.63	5
0.6	9
0.13	0
0.1	0
0.35	1
0.78	0
0.05	0
0.9	8
0.1	0
0.04	0
0.17	4
0.06	0
0.15	0
0.23	2
0.08	0
0.13	1
0.34	0
0.07	0
1	8
0.45	4
0.06	0
0.73	4
0.11	1
0.04	0
1	9
0.28	1
0.03	0
0.02	0
0.09	1
0.03	0
1	1
0.08	0
0.74	3
0.28	2
0.1	0
0.27	3
0.27	1
0.69	5
0.11	0
0.09	0
0.1	0
0.28	3
0.23	0
0.05	1
0.19	2
0.21	2
0.23	0
0.18	0
0.08	0
0.06	0
0.03	0
0.03	0
0.12	0
1	8
0.06	0
0.35	4
0.16	0
0.05	0
0.14	1
0.21	4
0.07	0
0.12	1
0.57	2
0.48	3
0.14	1
0.71	4
0.25	1
0.08	0
0.43	1
0.04	0
0.06	0
0.2	0
0.04	0
0.77	7
0.57	5
0.11	0
1	9
0.24	1
0.85	8
0.12	1
0.15	0
0.06	1
0.17	3
0.15	0
0.07	0
0.21	1
0.02	0
0.12	1
0.08	4
0.44	6
0.07	0
0.28	1
0.02	0
0.28	1
0.14	0
0.19	0
0.26	4
0.49	4
0.09	0
0.35	2
0.13	0
0.53	2
0.13	1
0.03	0
0.04	0
0.1	0
0.16	2
0.24	3
0.4	7
0.38	1
0.04	0
0.09	1
0.09	1
0.05	2
0.17	1
0.11	1
0.42	4
0	0
0.08	1
0.06	1
0.33	4
0.11	0
1	8
0.59	2
0.08	0
0.13	2
0.07	0
0.21	1
0.48	6
0.26	2
0.06	0
0.13	0
0.06	0
0.15	0
0.57	1
0.14	1
0.07	0
0.04	0
0.46	4
0.36	2
0.26	2
0.66	3
0.09	0
0.16	0
0.35	3
0.39	2
0.29	1
0.17	0
0.56	3
0.03	0
0.18	1
0.03	0
0.03	0
0.16	0
0.1	0
0.38	2
0.23	0
0.1	1
0.06	1
0.61	7
0.15	1
0.08	1
0.3	2
0.01	0
0.37	1
0.17	1
0.1	0
0.14	3
0.53	8
0.72	3
0.09	3
0.5	1
0.28	1
0.11	0
0.25	1
0.42	5
0.08	0
0.94	5
0.43	3
0.45	6
0.09	0
0.16	0
0.15	1
0.15	2
0.22	0
0.84	9
0.31	3
0.87	6
0.08	0
0.31	1
0.15	0
0.21	2
0.3	2
0.16	4
0.04	1
0.03	0
0.4	1
0.13	1
0.68	7
0.07	0
0.27	1
0.23	2
0.27	2
0.14	0
0.15	1
0.08	0
0.09	0
0.1	1
0.04	0
0.16	4
0.2	1
0.85	3
0.11	0
0.03	0
0.24	2
0.18	2
0.46	3
0.44	4
0.42	3
0.06	0
0.14	1
0.13	0
0.49	2
0.87	3
0.27	3
0.15	1
0.16	0
0.16	1
0.31	2
0.07	0
0.72	3
0.2	1
0.17	1
0.01	0
0.45	3
0.08	2
0.11	0
0.31	4
0.18	0
0.66	9
0.54	1
0.17	2
0.17	3
1	8
0.12	1
0.27	4
0.11	0
0.49	4
1	9
0.3	3
0.13	1
0.12	1
0.1	1
0.21	1
0.04	0
0.1	2
0.1	0
0.08	1
0.5	5
0.28	1
0.68	6
0.6	4
0.11	0
0.12	0
0.09	0
0.45	3
0.24	0
0.23	0
0.12	0
0.07	0
1	6
0.21	1
0.52	2
0.19	1
0.08	1
0.25	0
0.02	0
0.04	1
0.14	0
0.03	0
1	8
0.27	2
0.34	0
0.04	0
0.09	0
0.17	0
0.68	9
0.49	2
0.5	2
0.08	1
0.07	0
0.19	1
0.16	1
0.28	0
0.01	0
0.24	0
0.08	0
0.03	0
0.13	0
0.05	0
0.03	1
0.13	0
0.39	6
0.67	7
0.06	0
0.06	1
0.52	2
0.2	0
0.32	3
0.04	1
0.02	0
0.21	4
0.18	4
0.43	4
0.32	2
0.08	0
0.04	0
0.08	0
0.27	3
0.07	0
0.78	5
0.47	2
0.22	5
0.38	2
0.07	0
0.11	0
0.49	2
0.65	6
0.28	2
0.03	0
1	9
0.09	3
0.04	0
0.1	2
0.04	0
0.18	2
0.42	5
0.13	0
0.02	0
0.04	0
0.06	0
0.77	7
0.04	1
0.59	9
0.27	5
0.73	7
0.2	1
0.12	2
0.03	0
0.21	0
0.54	5
0.07	0
0.45	4
0.11	0
0.44	3
0.02	1
0.34	0
0.17	2
0.13	5
0.34	0
0.17	0
0.23	2
0.09	1
0.12	2
0.09	0
0.08	0
0.59	8
0.22	0
0.23	5
0.45	6
0.28	2
0.19	2
0.41	2
0.2	2
0.27	3
0.06	1
0.06	0
0.04	0
0.23	6
0.29	2
0.3	2
0.19	0
0.3	3
0.07	0
0.63	2
0.4	7
0.04	0
0.03	0
0.13	0
0.09	1
0.22	1
0.03	0
0.41	2
0.28	2
0.69	6
0.78	6
0.31	2
0.31	3
0.06	0
0.24	0
0.25	7
0.17	2
0.04	0
0.06	0
0.06	0
0.3	4
0.1	0
0.11	0
0.06	1
0.14	0
0.08	0
0.11	0
0.17	2
0.06	0
0.15	1
0.12	0
0.29	3
0.14	2
0.09	0
0.24	1
0.23	1
0.27	2
0.09	1
0.11	1
0.26	2
0.2	1
0.36	2
0.18	2
0.14	0
0.39	6
0.47	2
0.05	1
0.18	1
0.14	0
0.3	3
0.06	1
0.66	9
0.2	0
0.76	9
0.1	4
0.05	0
0.23	1
0.3	0
0.96	6
0.69	9
0.7	3
0.07	0
0.77	2
0.09	2
0.28	2
0.36	0
0.04	0
0.16	0
0.09	3
0.14	2
0.47	5
0.2	0
0.26	4
0.73	4
0.19	4
0.14	1
0.1	1
0.03	0
0.03	0
0.29	1
0.05	0
0.19	1
0.32	2
0.02	0
0.52	5
0.17	2
0.11	2
0.25	3
0.15	0
0.19	1
0.5	9
0.07	0
0.12	2
0.81	9
0.47	3
0.22	2
0.16	0
0.05	0
0.16	1
0.05	0
0.69	4
0.09	0
0.04	1
0.49	8
0.27	2
