0.09	0.73	1
0.21	0.62	1
0.17	0.76	0
0.15	0.61	2
0.32	0.52	4
0.32	0.59	2
0.04	0.89	0
0.02	0.88	0
0.21	0.4	3
0.09	0.82	1
0.24	0.41	2
0.11	0.79	0
0.15	0.75	0
0.13	0.75	0
0.32	0.42	1
0.33	0.23	7
0.2	0.67	1
0.75	0.25	3
0.1	0.72	2
0.1	0.54	3
0.02	0.87	0
0.17	0.66	1
1	0.11	3
0.07	0.77	0
0.13	0.69	0
0.09	0.61	2
0.17	0.8	2
0.39	0.57	5
0.1	0.75	1
0.2	0.6	1
0.43	0.46	3
0.05	0.73	0
0.76	0.35	4
0.09	0.64	0
0.26	0.77	0
0.08	0.78	1
0.04	0.78	0
0.27	0.64	2
0.1	0.8	0
0.08	0.82	0
0.06	0.64	2
0.1	0.74	1
0.06	0.87	1
0.43	0.53	2
0.67	0.4	4
0.17	0.68	1
0.13	0.76	0
0.35	0.46	4
0.14	0.68	2
0.05	0.8	0
0.15	0.63	5
0.19	0.64	1
0.21	0.58	3
0.2	0.64	1
0.12	0.59	3
0.14	0.65	0
0.05	0.89	1
0.05	0.88	0
0.42	0.44	5
0.05	0.89	0
0.11	0.76	1
0.29	0.44	4
0.07	0.87	0
0.11	0.7	0
0.52	0.55	1
0.31	0.49	1
0.4	0.35	3
0.3	0.44	6
0.06	0.66	1
0.98	0.21	3
0.59	0.36	3
0.03	0.95	0
0.03	0.93	0
0.35	0.47	3
0.13	0.65	0
0.17	0.55	0
0.23	0.56	5
1	0.03	5
0.11	0.77	0
0.15	0.64	3
0.31	0.59	2
0.59	0.18	2
0.51	0.51	3
0.08	0.73	1
0.22	0.51	4
0.15	0.7	0
0.37	0.53	6
0.4	0.47	6
0.04	0.94	0
0.06	0.82	0
0.54	0.46	8
0.23	0.63	1
0.22	0.65	1
0.09	0.83	0
0.14	0.65	0
0.21	0.56	2
0.72	0.32	8
0.25	0.52	0
0.03	0.75	0
0.45	0.48	2
0.35	0.54	0
0.25	0.41	1
0.41	0.54	3
0.06	0.8	1
0.28	0.46	2
0.13	0.75	0
0.12	0.68	0
0.1	0.61	0
0.03	0.94	0
0.12	0.58	0
0.15	0.79	0
0.54	0.41	2
1	0.03	6
0.16	0.73	0
0.03	0.91	0
0.14	0.74	2
0.21	0.62	0
0.75	0.43	5
0.53	0.44	1
0.1	0.52	1
0.59	0.29	5
0.4	0.53	1
0.06	0.87	0
0.06	0.89	1
0.04	0.84	0
0.15	0.71	2
0	0.97	0
0.17	0.61	1
0.85	0.29	5
0.09	0.71	0
0.4	0.26	7
0.04	0.84	0
0.06	0.85	0
0.19	0.57	1
0.15	0.59	2
0.41	0.37	2
0.27	0.48	5
0.22	0.51	2
0.06	0.79	0
0.08	0.77	1
0.14	0.62	3
0.4	0.53	4
0.46	0.35	1
0.01	0.82	1
0.44	0.48	6
0.11	0.64	0
0.06	0.78	0
0.05	0.82	0
0.36	0.51	5
0.05	0.8	0
0.1	0.91	0
0.26	0.79	1
0.58	0.37	4
0.39	0.45	4
0.61	0.22	4
0.06	0.92	0
0.29	0.55	2
0.3	0.53	5
0.08	0.75	0
0.15	0.58	0
0.14	0.8	0
0.26	0.55	2
0.06	0.88	1
0.23	0.67	1
0.76	0.17	5
0.36	0.44	2
0.19	0.81	0
0.09	0.7	1
0.45	0.46	5
0.23	0.58	3
0.1	0.68	2
0.1	0.72	0
0.05	0.92	0
0.2	0.41	1
0.21	0.48	5
0.2	0.62	2
0.06	0.74	0
0	0.92	0
0.48	0.42	3
0.25	0.68	1
0.79	0.3	5
0.18	0.65	1
1	0.07	7
0.63	0.29	5
0.6	0.37	9
0.13	0.75	0
0.1	0.82	0
0.35	0.52	1
0.78	0.58	0
0.05	0.86	0
0.9	0.23	8
0.1	0.63	0
0.04	0.92	0
0.17	0.54	4
0.06	0.74	0
0.15	0.78	0
0.23	0.47	2
0.08	0.85	0
0.13	0.51	1
0.34	0.48	0
0.07	0.8	0
1	0	8
0.45	0.45	4
0.06	0.67	0
0.73	0.25	4
0.11	0.77	1
0.04	0.94	0
1	0	9
0.28	0.59	1
0.03	0.9	0
0.02	0.97	0
0.09	0.67	1
0.03	0.98	0
1	0.09	1
0.08	0.79	0
0.74	0.26	3
0.28	0.47	2
0.1	0.72	0
0.27	0.56	3
0.27	0.62	1
0.69	0.34	5
0.11	0.76	0
0.09	0.91	0
0.1	0.81	0
0.28	0.64	3
0.23	0.62	0
0.05	0.44	1
0.19	0.6	2
0.21	0.71	2
0.23	0.61	0
0.18	0.84	0
0.08	0.67	0
0.06	0.82	0
0.03	0.92	0
0.03	0.87	0
0.12	0.6	0
1	0.05	8
0.06	0.74	0
0.35	0.49	4
0.16	0.68	0
0.05	0.87	0
0.14	0.67	1
0.21	0.54	4
0.07	0.88	0
0.12	0.78	1
0.57	0.29	2
0.48	0.47	3
0.14	0.66	1
0.71	0.22	4
0.25	0.55	1
0.08	0.9	0
0.43	0.27	1
0.04	0.89	0
0.06	0.96	0
0.2	0.65	0
0.04	0.97	0
0.77	0.13	7
0.57	0.48	5
0.11	0.78	0
1	0	9
0.24	0.59	1
0.85	0.29	8
0.12	0.74	1
0.15	0.8	0
0.06	0.69	1
0.17	0.68	3
0.15	0.73	0
