0.09	0.73	0.69	1
0.21	0.62	0.59	1
0.17	0.76	0.75	0
0.15	0.61	0.63	2
0.32	0.52	0.65	4
0.32	0.59	0.6	2
0.04	0.89	0.86	0
0.02	0.88	0.9	0
0.21	0.4	0.38	3
0.09	0.82	0.82	1
0.24	0.41	0.37	2
0.11	0.79	0.78	0
0.15	0.75	0.74	0
0.13	0.75	0.69	0
0.32	0.42	0.43	1
0.33	0.23	0.23	7
0.2	0.67	0.68	1
0.75	0.25	0.22	3
0.1	0.72	0.73	2
0.1	0.54	0.55	3
0.02	0.87	0.87	0
0.17	0.66	0.58	1
1	0.11	0.16	3
0.07	0.77	0.7	0
0.13	0.69	0.62	0
0.09	0.61	0.58	2
0.17	0.8	0.79	2
0.39	0.57	0.55	5
0.1	0.75	0.75	1
0.2	0.6	0.54	1
0.43	0.46	0.54	3
0.05	0.73	0.67	0
0.76	0.35	0.32	4
0.09	0.64	0.58	0
0.26	0.77	0.76	0
0.08	0.78	0.75	1
0.04	0.78	0.8	0
0.27	0.64	0.59	2
0.1	0.8	0.73	0
0.08	0.82	0.81	0
0.06	0.64	0.6	2
0.1	0.74	0.7	1
0.06	0.87	0.86	1
0.43	0.53	0.59	2
0.67	0.4	0.42	4
0.17	0.68	0.68	1
0.13	0.76	0.75	0
0.35	0.46	0.45	4
0.14	0.68	0.65	2
0.05	0.8	0.78	0
0.15	0.63	0.63	5
0.19	0.64	0.63	1
0.21	0.58	0.61	3
0.2	0.64	0.66	1
0.12	0.59	0.58	3
0.14	0.65	0.61	0
0.05	0.89	0.86	1
0.05	0.88	0.84	0
0.42	0.44	0.39	5
0.05	0.89	0.89	0
0.11	0.76	0.78	1
0.29	0.44	0.41	4
0.07	0.87	0.81	0
0.11	0.7	0.67	0
0.52	0.55	0.55	1
0.31	0.49	0.48	1
0.4	0.35	0.38	3
0.3	0.44	0.42	6
0.06	0.66	0.6	1
0.98	0.21	0.18	3
0.59	0.36	0.4	3
0.03	0.95	0.94	0
0.03	0.93	0.91	0
0.35	0.47	0.53	3
0.13	0.65	0.64	0
0.17	0.55	0.51	0
0.23	0.56	0.62	5
1	0.03	0.06	5
0.11	0.77	0.7	0
0.15	0.64	0.65	3
0.31	0.59	0.58	2
0.59	0.18	0.19	2
0.51	0.51	0.49	3
0.08	0.73	0.71	1
0.22	0.51	0.5	4
0.15	0.7	0.64	0
