0.11	0.51	0.47	0.5	1	3
0.87	0.87	0.83	0.76	0.04	0
0.29	0.26	0.23	0.23	0.78	8
0.92	0.82	0.88	0.79	0.04	0
0.75	0.39	0.37	0.39	0.35	4
0	0	0	0	1	9
0.76	0.68	0.66	0.59	0.11	2
0.77	0.83	0.81	0.76	0.11	0
0.85	0.48	0.49	0.52	0.13	2
0.89	0.74	0.77	0.78	0.08	1
0.82	0.7	0.71	0.54	0.13	2
0.72	0.43	0.45	0.48	0.39	4
0.96	0.94	0.92	0.84	0.05	0
0.95	0.93	0.94	0.91	0.06	0
0.58	0.58	0.58	0.53	0.28	5
0.59	0.44	0.44	0.06	0.18	1
0.71	0.42	0.43	0.48	0.38	9
0.99	0.84	0.88	1	0.01	0
0.96	0.85	0.86	0.68	0.02	0
0.81	0.74	0.75	0.78	0.15	0
0	0.25	0.2	0.36	1	8
0.74	0.7	0.7	0.71	0.21	0
0.48	0.48	0.46	0.51	0.44	3
0.92	0.61	0.66	0.72	0.19	1
0	0	0	0	1	9
0.99	0.77	0.81	0.75	0.12	0
0.29	0.15	0.17	0.05	0.87	3
0.4	0.79	0.8	0.66	0.17	0
0.96	0.77	0.74	0.56	0.09	1
0.89	0.81	0.82	0.64	0.04	1
0.94	0.3	0.3	0.3	0.47	4
0.19	0.16	0.15	0.14	0.85	3
0.95	0.75	0.75	0.67	0.08	0
0.64	0.5	0.5	0.47	0.32	2
0.52	0.58	0.54	0.6	0.26	2
0.92	0.86	0.85	0.74	0.08	1
0.45	0.42	0.4	0.33	0.57	1
0.95	0.66	0.69	0.66	0.21	0
0.9	0.85	0.88	0.73	0.1	0
0.61	0.52	0.49	0.6	0.28	1
0.96	0.87	0.9	0.73	0.03	0
0.93	0.64	0.72	0.98	0.12	0
0.39	0.8	0.77	0.64	0.07	1
0.57	0.48	0.43	0.59	0.42	1
0.99	0.67	0.72	0.52	0.06	0
0.69	0.7	0.71	0.63	0.24	3
0.89	0.69	0.74	0.65	0.21	1
0.28	0.02	0	0	0.8	9
0.92	0.95	0.96	0.84	0.03	0
0.97	0.81	0.83	0.64	0.03	0
0.75	0.76	0.76	0.66	0.23	1
0.87	0.51	0.55	0.49	0.25	1
0.83	0.42	0.48	0.31	0.38	4
0.99	0.53	0.59	0.55	0.16	0
0.92	0.79	0.82	0.74	0.01	1
